"combinacao","learnParams","porc_teste","iteracao","neuronio","minimo","media","maximo"
1,0.3,0.25,1000,13,"0.29075078","0.32316456","0.35557835"
2,0.2,0.25,1000,13,"0.64026163","0.67451116","0.70876068"
3,0.3,0.25,1000,15,"0.24609932","0.28441014","0.32272097"
4,0.2,0.25,1000,15,"0.61399928","0.64692564","0.67985199"
5,0.3,0.25,1500,13,"0.11762431","0.13641419","0.15520407"
6,0.2,0.25,1500,13,"0.31284837","0.35164378","0.39043920"
7,0.3,0.25,1500,15,"0.08859994","0.10024214","0.11188434"
8,0.2,0.25,1500,15,"0.25225644","0.29003603","0.32781563"
