"combinacao","learnParams","porc_teste","iteracao","neuronio","minimo","media","maximo"
1,0.3,0.25,1000,13,"0.004418904","0.004627373","0.004835842"
2,0.2,0.25,1000,13,"0.007920957","0.008188923","0.008456889"
3,0.3,0.25,1000,15,"0.004329155","0.004511538","0.004693922"
4,0.2,0.25,1000,15,"0.007867355","0.008187483","0.008507611"
5,0.3,0.25,1500,13,"0.002910920","0.002996356","0.003081793"
6,0.2,0.25,1500,13,"0.004354269","0.004560003","0.004765736"
7,0.3,0.25,1500,15,"0.002768629","0.002846515","0.002924401"
8,0.2,0.25,1500,15,"0.004423417","0.004591824","0.004760232"
