"combinacao","learnParams","porc_teste","iteracao","neuronio","minimo","media","maximo"
1,0.3,0.25,1000,13,"0.01758996","0.01786187","0.01813378"
2,0.2,0.25,1000,13,"0.02058073","0.02078483","0.02098892"
3,0.3,0.25,1000,15,"0.01749302","0.01770943","0.01792583"
4,0.2,0.25,1000,15,"0.02072260","0.02094376","0.02116492"
5,0.3,0.25,1500,13,"0.01563739","0.01595000","0.01626261"
6,0.2,0.25,1500,13,"0.01746222","0.01773431","0.01800640"
7,0.3,0.25,1500,15,"0.01526995","0.01555656","0.01584318"
8,0.2,0.25,1500,15,"0.01747019","0.01763110","0.01779202"
