"sse","a","coeficiente_B","volatilidade","grupo_do_janelamento","setor","b_volatilidade"
0.0315255998199759,1.04126481922049,0.549683860702388,1.82927399806033,1,"ICON",1.00552239353629
0.0346922228232967,1.08163146356459,0.62833033868888,1.69011291029803,1,"IEE",1.06194921735001
0.0163620726185119,1.05706828647262,0.586164763208158,1.83698068666851,1,"IFNC",1.076773349219
0.0130317694156396,1.03949589392459,0.599852442538352,1.74703883474776,1,"IMAT",1.0479655122328
0.0147297079244775,1.01504173772065,0.613187709763802,1.70251450026394,1,"IMOB",1.04396096725651
0.0233900124281504,1.03728403360246,0.55697660599554,1.83854779897593,1,"INDX",1.02402811303418
0.0231353081520036,1.04852964592891,0.586656807949625,1.69771686037013,1,"UTIL",0.995977154107
0.0352632249842631,1.04491698333052,0.551920135381629,1.80388994660511,2,"ICON",0.995603183543852
0.0487831664801955,1.08707807390749,0.645806869515806,1.65898169371109,2,"IEE",1.07138177419959
0.0147898014488096,1.05682941047499,0.566576572200978,1.88120079495878,2,"IFNC",1.0658442980295
0.0046803162815262,1.02422782336945,0.575411024925886,1.77782262422968,2,"IMAT",1.02297873834443
0.0175989128909756,1.01779893679618,0.589608678550035,1.75647955706705,2,"IMOB",1.03563559054245
0.0271935331827116,1.02742337749849,0.539647158206293,1.84986930130596,2,"INDX",0.998276711502824
0.038320295127129,1.06040117399941,0.598215875344608,1.68328279569703,2,"UTIL",1.00696649108042
0.0395514722782956,1.04755204755466,0.573499253595394,1.77698081352548,3,"ICON",1.0190971702102
0.0431963055790908,1.08719555295102,0.671236584960191,1.626873494252,3,"IEE",1.09201700844397
0.0122886348348403,1.04782221595717,0.551509718898625,1.90310558783735,3,"IFNC",1.04958122778258
0.0111642764698221,1.04507280979726,0.559041474734691,1.83029766814641,3,"IMAT",1.02321230760404
0.0182425803153378,1.02201713914181,0.587010090592531,1.76892613371679,3,"IMOB",1.03837749000459
0.0393878551365313,1.04550950492915,0.545831340010722,1.86616138710918,3,"INDX",1.01860937060207
0.0344782495706959,1.05173006647041,0.606829625220167,1.65967158132848,3,"UTIL",1.00713788368613
0.0439616161550926,1.03763239546952,0.590576806029687,1.74005021453126,4,"ICON",1.02763329802914
0.0396923092179564,1.08461816347388,0.685915280509424,1.60787261632074,4,"IEE",1.10286439664706
0.00712221696831405,1.02939455144213,0.5664024645396,1.86777177250313,4,"IFNC",1.05791053514327
0.00791542122828192,1.0320365754687,0.541114445305522,1.85563269187114,4,"IMAT",1.00410965475264
0.0192209580742288,1.02007089323732,0.578557602825447,1.78137266197819,4,"IMOB",1.03062669705289
0.0382421839960138,1.04758187693166,0.549094073465026,1.87758283228768,4,"INDX",1.03096960564885
0.0212125766882143,1.04426260645973,0.606360276275571,1.65654639289172,4,"UTIL",1.00446392845712
0.044239664736386,1.04666072916774,0.583289949515429,1.75516859426566,5,"ICON",1.02377220074028
0.0445720453108553,1.08961915869159,0.686591636404178,1.60490715416673,5,"IEE",1.10191582925611
0.0112329947616567,1.00555020342993,0.541104523252347,1.86174340566379,5,"IFNC",1.00739777793991
0.00978866883966764,1.03458094704369,0.523635033358153,1.89012230656511,5,"IMAT",0.989734257049213
0.0212573538866335,1.03331886007885,0.560969738329544,1.8227197915731,5,"IMOB",1.02249064452685
0.0401076605087918,1.04282183573045,0.529028072667289,1.90369019103349,5,"INDX",1.00710555271807
0.0266727992676979,1.05607827911384,0.602679418242119,1.67528279250459,5,"UTIL",1.0096584587777
0.0544507734016445,1.0593314685164,0.563776190574753,1.8050421780804,6,"ICON",1.01763980298492
0.06835021241771,1.09542554888631,0.691886571621551,1.59691525542636,6,"IEE",1.1048842212471
0.0195739986173223,1.00121631490846,0.509375832932133,1.90864649654404,6,"IFNC",0.972218398950119
0.0119069555826211,1.03637910860068,0.493019215881636,1.95723396196335,6,"IMAT",0.964953953224081
0.031495631501944,1.0449346713109,0.517353279077891,1.93449029253006,6,"IMOB",1.00081489618477
0.0427141767263985,1.04540872279507,0.496653000314819,1.97300670215926,6,"INDX",0.979899698268644
0.0405362509764314,1.05866200073424,0.609782552794466,1.65991771098708,6,"UTIL",1.01218885923445
0.044267798778461,1.06339766685236,0.578105780734291,1.78440234575694,7,"ICON",1.03157331123791
0.0553436554936403,1.09235997091102,0.727456573042626,1.55277301494661,7,"IEE",1.12957493616612
0.0128438129083066,0.98743984433013,0.521249706527964,1.87237205461523,7,"IFNC",0.975973383979352
0.00922587467246092,1.02461850672052,0.480690322194576,1.95648073208942,7,"IMAT",0.940461353475545
0.0209263373410898,1.04156359661352,0.507064976822312,1.9462841324041,7,"IMOB",0.986892518487117
0.0242444244387648,1.02277434943556,0.489832036536773,1.95066481685909,7,"INDX",0.955498119842719
0.0346628928972926,1.06279425233358,0.630411659365113,1.6396884039433,7,"UTIL",1.03367868757163
0.0209338699485092,1.05197873045565,0.589422887959219,1.75553395578977,8,"ICON",1.03475189413208
0.0351861548699351,1.08154860014677,0.75369962146384,1.51322530182766,8,"IEE",1.14051733717701
0.0069341139494369,0.981532920458122,0.519635159308967,1.86148020478153,8,"IFNC",0.96729056276214
0.0104936517109501,1.01048820796048,0.483702689930538,1.92822710922723,8,"IMAT",0.932688639530199
0.0139325209664592,1.03578150342009,0.513160285511206,1.92666280328719,8,"IMOB",0.988686834218673
0.00662167810034361,1.01437590963218,0.510083953328441,1.90539661741632,8,"INDX",0.971912239270358
0.0273202377207429,1.05770686165707,0.663163987018294,1.59267053900274,8,"UTIL",1.05620174465163
