"datas","valor_fechamento"
2014-08-25,3244.21
2014-08-22,3194.3
2014-08-21,3219.93
2014-08-20,3191.18
2014-08-19,3138.84
2014-08-18,3118.65
2014-08-15,3102.56
2014-08-14,3028.52
2014-08-13,3017
2014-08-12,3056.28
2014-08-11,3079.95
2014-08-08,3037.55
2014-08-07,3033.01
2014-08-06,3026.09
2014-08-05,3014.41
2014-08-04,3057
2014-08-01,3008.94
2014-07-31,2980.98
2014-07-30,3052.52
2014-07-29,3076.81
2014-07-28,3148.72
2014-07-25,3154.38
2014-07-24,3186.77
2014-07-23,3154.32
2014-07-22,3203.83
2014-07-21,3173.71
2014-07-18,3126.02
2014-07-17,3066.38
2014-07-16,3067.76
2014-07-15,3097.01
2014-07-14,3090.82
2014-07-11,3050.96
2014-07-10,3043.96
2014-07-08,2982.97
2014-07-07,2984.88
2014-07-04,2975.17
2014-07-03,2940.82
2014-07-02,2903.05
2014-07-01,2919.95
2014-06-30,2940.41
2014-06-27,2948.21
2014-06-26,2961.63
2014-06-25,2971.18
2014-06-24,2979.98
2014-06-23,2953.89
2014-06-20,2984.84
2014-06-18,3042.2
2014-06-17,2948.71
2014-06-16,2937.01
2014-06-13,2936.74
2014-06-11,2957.85
2014-06-10,2918.14
2014-06-09,2885.63
2014-06-06,2825.95
2014-06-05,2778.57
2014-06-04,2796.72
2014-06-03,2785.84
2014-06-02,2751.2
2014-05-30,2737.26
2014-05-29,2782.2
2014-05-28,2783.46
2014-05-27,2759.31
2014-05-26,2838.93
2014-05-23,2824.4
2014-05-22,2805.49
2014-05-21,2764.83
2014-05-20,2763.57
2014-05-19,2796.25
2014-05-16,2808.8
2014-05-15,2776.29
2014-05-14,2854.56
2014-05-13,2811.78
2014-05-12,2804.88
2014-05-09,2762.43
2014-05-08,2792.93
2014-05-07,2823.22
2014-05-06,2811.99
2014-05-05,2789.9
2014-05-02,2765.56
2014-04-30,2723.81
2014-04-29,2675.91
2014-04-28,2673.03
2014-04-25,2663.57
2014-04-24,2708.54
2014-04-23,2712.82
2014-04-22,2728.86
2014-04-17,2684.43
2014-04-16,2635.79
2014-04-15,2620.02
2014-04-14,2632.23
2014-04-11,2598.11
2014-04-10,2593.09
2014-04-09,2570.36
2014-04-08,2617.94
2014-04-07,2639.57
2014-04-04,2633.04
2014-04-03,2642.11
2014-04-02,2655.18
2014-04-01,2586.66
2014-03-31,2602
2014-03-28,2578.91
2014-03-27,2563.22
2014-03-26,2465.03
2014-03-25,2471.96
2014-03-24,2450.68
2014-03-21,2437.16
2014-03-20,2418.5
2014-03-19,2398.01
2014-03-18,2373.21
2014-03-17,2309.23
2014-03-14,2310.2
2014-03-13,2381.9
2014-03-12,2333.58
2014-03-11,2301.79
2014-03-10,2266.58
2014-03-07,2311.34
2014-03-06,2389.71
2014-03-05,2366.22
2014-02-28,2390.13
2014-02-27,2403.9
2014-02-26,2343.03
2014-02-25,2337.98
2014-02-24,2368.77
2014-02-21,2371.49
2014-02-20,2367.02
2014-02-19,2322.08
2014-02-18,2266.12
2014-02-17,2350.73
2014-02-14,2436.55
2014-02-13,2437.71
2014-02-12,2492.81
2014-02-11,2483.49
2014-02-10,2436.33
2014-02-07,2454.37
2014-02-06,2454.37
2014-02-05,2393.7
2014-02-04,2444.11
2014-02-03,2454.35
2014-01-31,2513.21
2014-01-30,2478.83
2014-01-29,2479.18
2014-01-28,2504.17
2014-01-27,2496.08
2014-01-24,2516.91
2014-01-23,2543.58
2014-01-22,2582.61
2014-01-21,2546.64
2014-01-20,2535.18
2014-01-17,2561.26
2014-01-16,2567
2014-01-15,2570.37
2014-01-14,2564.6
2014-01-13,2539.25
2014-01-10,2574.54
2014-01-09,2563.76
2014-01-08,2605.98
2014-01-07,2617.86
2014-01-06,2657.56
2014-01-03,2675.85
2014-01-02,2633.73
2013-12-31,2674.26
2013-12-28,2680.01
2013-12-27,2671.22
2013-12-24,2674.72
2013-12-21,2673.88
2013-12-20,2652.78
2013-12-19,2620.44
2013-12-18,2615.24
2013-12-17,2606.56
2013-12-14,2617.3
2013-12-13,2620.19
2013-12-12,2608.3
2013-12-11,2644.09
2013-12-10,2657.51
2013-12-07,2653.08
2013-12-06,2632.91
2013-12-05,2622.07
2013-12-04,2648.17
2013-12-03,2690.38
2013-11-30,2724.1
2013-11-29,2692.23
2013-11-28,2705.02
2013-11-27,2698.9
2013-11-26,2716.76
2013-11-23,2700.77
2013-11-22,2693.94
2013-11-20,2700.79
2013-11-19,2759.6
2013-11-15,2733.75
2013-11-14,2661.97
2013-11-13,2647.61
2013-11-12,2645.35
2013-11-09,2635.02
2013-11-08,2663.59
2013-11-07,2712.71
2013-11-06,2744.34
2013-11-05,2757.18
2013-11-02,2754.27
2013-10-31,2760.13
2013-10-30,2741.4
2013-10-29,2750.38
2013-10-28,2754.05
2013-10-25,2721.49
2013-10-24,2747.32
2013-10-23,2777.72
2013-10-22,2790.97
2013-10-21,2764.46
2013-10-18,2769.88
2013-10-17,2733.3
2013-10-16,2730.41
2013-10-15,2726.77
2013-10-14,2714.73
2013-10-11,2687.22
2013-10-10,2685.27
2013-10-09,2649.04
2013-10-08,2644.56
2013-10-07,2658.27
2013-10-04,2669.8
2013-10-03,2660.84
2013-10-02,2664.33
2013-10-01,2665.81
2013-09-30,2659.53
2013-09-27,2676.81
2013-09-26,2662.28
2013-09-25,2673.94
2013-09-24,2678.89
2013-09-23,2656.94
2013-09-20,2628.74
2013-09-19,2657.43
2013-09-18,2664.5
2013-09-17,2651.81
2013-09-16,2632.69
2013-09-13,2610.6
2013-09-12,2607.14
2013-09-11,2633.99
2013-09-10,2640.46
2013-09-09,2662.15
2013-09-06,2634.77
2013-09-05,2599.22
2013-09-04,2527.12
2013-09-03,2517.6
2013-09-02,2530.98
2013-08-30,2495.65
2013-08-29,2488.52
2013-08-28,2481.78
2013-08-27,2488.25
2013-08-26,2505.31
2013-08-23,2537.82
2013-08-22,2532.51
2013-08-21,2516.63
2013-08-20,2527.54
2013-08-19,2552.05
2013-08-16,2586.47
2013-08-15,2575.36
2013-08-14,2621.19
2013-08-13,2649.25
2013-08-12,2637.55
2013-08-09,2634.75
2013-08-08,2635.92
2013-08-07,2609.28
2013-08-06,2587.04
2013-08-05,2629.09
2013-08-02,2614.79
2013-08-01,2668.08
2013-07-31,2663.56
2013-07-30,2687.23
2013-07-29,2708.84
2013-07-26,2707.35
2013-07-25,2712.19
2013-07-24,2670.56
2013-07-23,2699.94
2013-07-22,2683.59
2013-07-19,2654.45
2013-07-18,2662.12
2013-07-17,2632.98
2013-07-16,2605.61
2013-07-15,2621.29
2013-07-12,2597.94
2013-07-11,2644.68
2013-07-10,2592.9
2013-07-08,2549.75
2013-07-05,2538.14
2013-07-04,2532.13
2013-07-03,2494.6
2013-07-02,2532.7
2013-07-01,2591.41
2013-06-28,2590.21
2013-06-27,2555.5
2013-06-26,2497.77
2013-06-25,2491.95
2013-06-24,2430.81
2013-06-21,2477.7
2013-06-20,2606.23
2013-06-19,2667.25
2013-06-18,2729.94
2013-06-17,2721.59
2013-06-14,2694.44
2013-06-13,2750.23
2013-06-12,2696.06
2013-06-11,2728.14
2013-06-10,2787.2
2013-06-07,2805.77
2013-06-06,2843.06
2013-06-05,2852.95
2013-06-04,2900.62
2013-06-03,2913.79
2013-05-31,2897.64
2013-05-29,2950.29
2013-05-28,3001.91
2013-05-27,3004.32
2013-05-24,3018.08
2013-05-23,3020.56
2013-05-22,3021.26
2013-05-21,2960.93
2013-05-20,2901.14
2013-05-17,2867.1
2013-05-16,2855.82
2013-05-15,2832.82
2013-05-14,2822.91
2013-05-13,2821.36
2013-05-10,2850.73
2013-05-09,2843.93
2013-05-08,2847.82
2013-05-07,2843.71
2013-05-06,2827.43
2013-05-03,2849.65
2013-05-02,2854.62
2013-04-30,2852.28
2013-04-29,2788.14
2013-04-26,2801.93
2013-04-25,2838.76
2013-04-24,2845.14
2013-04-23,2849.1
2013-04-22,2824.19
2013-04-19,2854.98
2013-04-18,2824.57
2013-04-17,2801.65
2013-04-16,2828.18
2013-04-15,2777.24
2013-04-12,2820.93
2013-04-11,2836.89
2013-04-10,2882.62
2013-04-09,2858.76
2013-04-08,2827.5
2013-04-05,2834.73
2013-04-04,2799.17
2013-04-03,2818.55
2013-04-02,2806.25
2013-04-01,2828.23
2013-03-28,2830.14
2013-03-27,2770.19
2013-03-26,2751.53
2013-03-25,2716.93
2013-03-22,2711.3
2013-03-21,2707.37
2013-03-20,2717.03
2013-03-19,2839.49
2013-03-18,2867.48
2013-03-15,2865.97
2013-03-14,2869.96
2013-03-13,2874.44
2013-03-12,2888.13
2013-03-11,2890.5
2013-03-08,2885.34
2013-03-07,2901.92
2013-03-06,2823.85
2013-03-05,2757.12
2013-03-04,2768.66
2013-03-01,2775.89
2013-02-28,2801.81
2013-02-27,2789.15
2013-02-26,2789.37
2013-02-25,2754.09
2013-02-22,2714.49
2013-02-21,2715.73
2013-02-20,2725.42
2013-02-19,2753.72
2013-02-18,2763.33
2013-02-15,2760.87
2013-02-14,2744.3
2013-02-13,2731.11
2013-02-08,2720.01
2013-02-07,2746.97
2013-02-06,2765.26
2013-02-05,2782.77
2013-02-04,2783.32
2013-02-01,2775.51
2013-01-31,2749.05
2013-01-30,2729.5
2013-01-29,2767.38
2013-01-28,2779.41
2013-01-24,2816.5
2013-01-23,2831.26
2013-01-22,2843.78
2013-01-21,2852.71
2013-01-18,2812.52
2013-01-17,2796.15
2013-01-16,2758.17
2013-01-15,2730.78
2013-01-14,2725.75
2013-01-11,2714.29
2013-01-10,2700.83
2013-01-09,2674.49
2013-01-08,2596.64
2013-01-07,2672.28
2013-01-04,2733.96
2013-01-03,2788.55
2013-01-02,2800.48
2012-12-28,2752.48
2012-12-27,2730.39
2012-12-26,2729.07
2012-12-21,2740.74
2012-12-20,2688.9
2012-12-19,2684.97
2012-12-18,2686.23
2012-12-17,2690.52
2012-12-14,2688.22
2012-12-13,2687.44
2012-12-12,2704.44
2012-12-11,2700.52
2012-12-10,2679.22
2012-12-07,2679.33
2012-12-06,2659.91
2012-12-05,2638.32
2012-12-04,2686.87
2012-12-03,2694.87
2012-11-30,2687.04
2012-11-29,2646.4
2012-11-28,2637.52
2012-11-27,2603.53
2012-11-26,2647.43
2012-11-23,2637.42
2012-11-22,2549.06
2012-11-21,2534.2
2012-11-19,2596.14
2012-11-16,2623.87
2012-11-14,2631.55
2012-11-13,2662.83
2012-11-12,2625.75
2012-11-09,2677.39
2012-11-08,2693.19
2012-11-07,2748.08
2012-11-06,2771.02
2012-11-05,2787.63
2012-11-01,2837.46
2012-10-31,2780.66
2012-10-30,2799.89
2012-10-29,2778.88
2012-10-26,2781.03
2012-10-25,2775.01
2012-10-24,2760.63
2012-10-23,2771.75
2012-10-22,2802.2
2012-10-19,2810.23
2012-10-18,2794.17
2012-10-17,2820.83
2012-10-16,2837.13
2012-10-15,2816.99
2012-10-11,2777.11
2012-10-10,2758.01
2012-10-09,2783.74
2012-10-08,2787.85
2012-10-05,2795.29
2012-10-04,2760.16
2012-10-03,2787.81
2012-10-02,2823.71
2012-10-01,2821.77
2012-09-28,2821.54
2012-09-27,2829.19
2012-09-26,2833.23
2012-09-25,2834.95
2012-09-24,2845.94
2012-09-21,2827.53
2012-09-20,2826.74
2012-09-19,2856.93
2012-09-18,2892.15
2012-09-17,2851.98
