"sse" "a" "coeficiente_B" "volatilidade" "grupo_do_janelamento" "setor" "b_volatilidade" "risco" "distancia_euclidiana" "cor"
0.00607327521940833 1.01655911300483 0.599051332546695 1.72752775687363 1 "BVSP" 1.03487780476655 "arrojado" 0.12074597603183 "red"
0.00828060860968069 1.03696885426784 0.702698011509964 1.48289824326491 1 "Bens.Indls...Mat.Transporte" 1.04202964681387 "arrojado" 0.152497841966708 "red"
0.0145671054485452 1.02972595119126 0.599788707690792 1.70463481894152 1 "Cons.N.Básico...Alimentos.Processados" 1.02242071513766 "arrojado" 0.0979907859453393 "red"
0.362820678399875 1.23908446912176 0.935584016109662 1.14473346810508 1 "Cons.N.Cíclico...Bebidas" 1.07099433546489 "moderado" 0.30695877243057 "black"
0.0413167852368328 1.09459469740572 0.546987483283379 1.65651958499745 1 "Cons.N.Cíclico...Fumo" 0.906095478807382 "arrojado" 0.0838765417755515 "red"
0.0324800627945633 1.06181525048716 0.462365633933031 1.8943644997127 1 "Cons.N.Cíclico...Pr.Pessoal.Limp" 0.875889042809891 "arrojado" 0.324757692156519 "red"
0.0209789044839842 1.02597456282359 0.667017556879936 1.45707018188571 1 "Const.e.Transp...Constr.e.Engenh" 0.971891392924008 "arrojado" 0.159426700899887 "red"
0.0148281217866464 1.038170758783 0.607327146591989 1.66448862685682 1 "Utilidade.Públ...Água.Saneamento" 1.01088912828377 "arrojado" 0.0571673846515684 "red"
0.00772969758207124 1.02212180318327 0.612598456280656 1.70264472731399 2 "BVSP" 1.04303753154695 "arrojado" 0.0948006738291573 "red"
0.0106535246472751 1.04980848622536 0.699196206766385 1.49997752207503 2 "Bens.Indls...Mat.Transporte" 1.0487785936697 "arrojado" 0.136668617545978 "red"
0.0134249620279959 1.02918802928777 0.6084078035773 1.67554835741145 2 "Cons.N.Básico...Alimentos.Processados" 1.01941669592026 "arrojado" 0.0680176029088272 "red"
0.277607924013791 1.22745240022878 0.962545258233208 1.12869335639436 2 "Cons.N.Cíclico...Bebidas" 1.08641843819672 "moderado" 0.278037162911734 "black"
0.0470518621482173 1.10069188960788 0.592011534389649 1.59716795141666 2 "Cons.N.Cíclico...Fumo" 0.945541849596146 "arrojado" 0.0256564516021295 "red"
0.0321664819606424 1.0645042422638 0.473293821292527 1.85842617953503 2 "Cons.N.Cíclico...Pr.Pessoal.Limp" 0.879581628102205 "arrojado" 0.288000235566816 "red"
0.0130008280823489 1.02695083958945 0.669943027325706 1.46768024460362 2 "Const.e.Transp...Constr.e.Engenh" 0.983262146215879 "arrojado" 0.150466585839512 "red"
0.0121178222737373 1.03792592875947 0.61941241064715 1.63237025930939 2 "Utilidade.Públ...Água.Saneamento" 1.01111039738754 "arrojado" 0.0248261200440389 "red"
0.0140747388809289 1.0121278586084 0.599328267636707 1.72768312295369 3 "BVSP" 1.03544933310501 "arrojado" 0.120862965501421 "red"
0.00998483746034565 1.05058212404586 0.650051228444157 1.61413728151515 3 "Bens.Indls...Mat.Transporte" 1.04927192272644 "arrojado" 0.0352866138668179 "red"
0.0144204971877776 1.02411258794886 0.585998992839497 1.71469339860449 3 "Cons.N.Básico...Alimentos.Processados" 1.00480860461076 "arrojado" 0.110762479164954 "red"
0.221274941180987 1.21617545781603 0.971303987891278 1.12538389894841 3 "Cons.N.Cíclico...Bebidas" 1.09308986895723 "moderado" 0.270331843017378 "black"
0.0415854106276752 1.1004034878014 0.599634757541034 1.58338695821783 3 "Cons.N.Cíclico...Fumo" 0.949453854784586 "arrojado" 0.0290894473398686 "red"
0.0232413369714154 1.06410413519906 0.488013010389242 1.80572927600881 3 "Cons.N.Cíclico...Pr.Pessoal.Limp" 0.881219379933048 "arrojado" 0.235267849996222 "red"
0.0164550739336381 1.04134661582801 0.690876666944001 1.45468222572805 3 "Const.e.Transp...Constr.e.Engenh" 1.00500600757367 "arrojado" 0.170818213734909 "red"
0.0115597479236792 1.02858368767822 0.592259763236459 1.6459864811841 3 "Utilidade.Públ...Água.Saneamento" 0.974851563636505 "arrojado" 0.0445396827715402 "red"
0.0173842042638423 1.02804487945859 0.603148745313279 1.74571476421666 4 "BVSP" 1.05292566971214 "arrojado" 0.138368180169929 "red"
0.0111923946209672 1.04849281699251 0.599337929838472 1.72163395003017 4 "Bens.Indls...Mat.Transporte" 1.03184052755071 "arrojado" 0.114868443308454 "red"
0.00960271161125935 1.01372059618535 0.568092012846654 1.74248485391662 4 "Cons.N.Básico...Alimentos.Processados" 0.989891728016302 "arrojado" 0.142647784463449 "red"
0.198853633024104 1.21105752065955 0.978645670160595 1.13520265006151 4 "Cons.N.Cíclico...Bebidas" 1.11096115823753 "moderado" 0.274586413647407 "black"
0.0311559948037762 1.09166079794455 0.616632104624452 1.54470080448376 4 "Cons.N.Cíclico...Fumo" 0.952512108083904 "arrojado" 0.0631959709758634 "red"
0.0214638926674196 1.06358809399991 0.511428687264697 1.76017721492746 4 "Cons.N.Cíclico...Pr.Pessoal.Limp" 0.900205122383582 "arrojado" 0.184357107002171 "red"
0.0234777021222348 1.03167818507451 0.666357760588649 1.47058201808927 4 "Const.e.Transp...Constr.e.Engenh" 0.979933740335905 "arrojado" 0.146479146814344 "red"
0.0104410844797338 1.03544989693605 0.565281061735012 1.69701180709822 4 "Utilidade.Públ...Água.Saneamento" 0.959288636093335 "arrojado" 0.102216077615008 "red"
0.0117844371541421 1.03305751827555 0.578146697205074 1.77770367682315 5 "BVSP" 1.02777350936462 "arrojado" 0.173842124407353 "red"
