"","combinacao","learnParams","porc_teste","iteracao","neuronio","minimo","SSE","maximo","metodo"
"1",1,0.3,0.25,1500,5,0.02352249,0.0265833,0.02964411,"b_volatilidae"
"2",1,0.3,0.25,1500,5,0.08025819,0.09257332,0.10488844,"volatilidade"
"3",1,0.3,0.25,1500,5,0.03915264,0.04452259,0.04989254,"b"
