"","combinacao","learnParams","porc_teste","iteracao","neuronio","minimo","SSE","maximo","metodo"
"1",1,0.3,0.25,1500,5,0.02646004,0.03035234,0.03424464,"b_volatilidae"
"2",1,0.3,0.25,1500,5,0.1337846,0.1511888,0.1685929,"volatilidade"
"3",1,0.3,0.25,1500,5,0.03075048,0.03532587,0.03990127,"b"
