"mes" "BVSP_coeficiente_B" "BVSP_volatilidade" "Bens.Indls...Mat.Transporte_coeficiente_B" "Bens.Indls...Mat.Transporte_volatilidade" "Cons.N.Básico...Alimentos.Processados_coeficiente_B" "Cons.N.Básico...Alimentos.Processados_volatilidade" "Cons.N.Cíclico...Bebidas_coeficiente_B" "Cons.N.Cíclico...Bebidas_volatilidade" "Cons.N.Cíclico...Fumo_coeficiente_B" "Cons.N.Cíclico...Fumo_volatilidade" "Cons.N.Cíclico...Pr.Pessoal.Limp_coeficiente_B" "Cons.N.Cíclico...Pr.Pessoal.Limp_volatilidade" "Const.e.Transp...Constr.e.Engenh_coeficiente_B" "Const.e.Transp...Constr.e.Engenh_volatilidade" "Utilidade.Públ...Água.Saneamento_coeficiente_B" "Utilidade.Públ...Água.Saneamento_volatilidade"
1 0.599051332546695 1.72752775687363 0.702698011509964 1.48289824326491 0.599788707690792 1.70463481894152 0.935584016109662 1.14473346810508 0.546987483283379 1.65651958499745 0.462365633933031 1.8943644997127 0.667017556879936 1.45707018188571 0.607327146591989 1.66448862685682
2 0.612598456280656 1.70264472731399 0.699196206766385 1.49997752207503 0.6084078035773 1.67554835741145 0.962545258233208 1.12869335639436 0.592011534389649 1.59716795141666 0.473293821292527 1.85842617953503 0.669943027325706 1.46768024460362 0.61941241064715 1.63237025930939
3 0.599328267636707 1.72768312295369 0.650051228444157 1.61413728151515 0.585998992839497 1.71469339860449 0.971303987891278 1.12538389894841 0.599634757541034 1.58338695821783 0.488013010389242 1.80572927600881 0.690876666944001 1.45468222572805 0.592259763236459 1.6459864811841
4 0.603148745313279 1.74571476421666 0.599337929838472 1.72163395003017 0.568092012846654 1.74248485391662 0.978645670160595 1.13520265006151 0.616632104624452 1.54470080448376 0.511428687264697 1.76017721492746 0.666357760588649 1.47058201808927 0.565281061735012 1.69701180709822
5 0.578146697205074 1.77770367682315 0.5756323869544 1.79391180211417 0.54278058174399 1.76278033796926 1.02322321748873 1.04829518914815 0.617715899858701 1.53511894267643 0.514312972510767 1.7513781286851 0.643113977139631 1.51775415771927 0.540850681315386 1.73856965430272
6 0.561063850705003 1.79639880849848 0.554401007767795 1.83442753092625 0.51387321428509 1.83602199267789 1.02498823567944 1.04354693307938 0.634432500268806 1.51539026954408 0.537752345468853 1.72079501740795 0.620170077855335 1.53695914588528 0.510844300732198 1.76826925915259
7 0.5668920729058 1.76159916093169 0.560578620507914 1.82183267933969 0.487244542207087 1.90774242864657 1.03522943193098 1.05229315348419 0.643470341956471 1.4975097674064 0.57217215773833 1.65453363216053 0.631083075247936 1.52376654921866 0.501894609172513 1.78996475661881
8 0.582734323240114 1.7310219531919 0.580373189927118 1.74971816195463 0.480763125386724 1.9011556125584 1.05460776604464 0.9634121558768 0.688036668574957 1.46749882932329 0.606896726758541 1.59429640083207 0.660285176762617 1.49317317108541 0.51709120556462 1.77121774193323
9 0.624621737795414 1.6563642386041 0.589237520283734 1.72007854243971 0.498823876496424 1.85025696045507 1.08753797317403 0.953961882713432 0.727292119455547 1.40596386464098 0.671650122338061 1.48526591039301 0.663816065394969 1.4911954842432 0.532761507708992 1.71754775779763
10 0.756413825579292 1.40960684123033 0.648850592521811 1.57211361733205 0.559772513287248 1.65637072235087 1.16397759913986 0.830458122319917 0.797703414998754 1.31931357917026 0.755222958992587 1.3156380385257 0.739483164987756 1.33024248420466 0.620433601126467 1.49737394610205
11 0.820672378706538 1.2302743263662 0.730959247579717 1.40030701048316 0.623149153411791 1.47913066948985 1.25256556272276 0.749050682467273 0.900714817243354 1.15882974770535 0.869350016580183 1.14998133018152 0.819391165881454 1.17344297895746 0.693804462814559 1.29380810960384
12 0.882720782363559 1.10750761018434 0.802979186042653 1.30485656065356 0.681165906198544 1.3609908224425 1.32373677735361 0.740862021602281 0.978303339016557 1.0766902907005 0.94200705675447 1.07458856898053 0.888898895543018 1.08641277119721 0.755544605582796 1.18985081437803
13 0.964709056206929 1.02107277163397 0.882998623739924 1.21437854496096 0.734112651350066 1.28319742268198 1.40926436820192 0.705743887652361 1.01852521363946 1.0399266525893 0.973570631846406 1.01941817112939 0.974252026012019 1.0028635526271 0.847668531621811 1.06982860812553
14 1.02675238938028 0.971095179648876 0.89328657600632 1.20007492595885 0.760920424933843 1.25259400140273 1.40946665260603 0.689005189249323 1.01720232062159 1.04357124642275 0.989572874877317 1.00741085717105 1.01855462680691 0.944548068212841 0.881298986179011 1.03306101551233
15 1.10581314360636 0.910479700445787 0.992819858054261 1.04170795921136 0.810986824865889 1.17381524829867 1.48322359364726 0.659983253848176 1.04865287609084 1.01753387105701 0.981893412499248 1.01589560534783 1.05961917629599 0.904096542015751 0.946080758074969 0.999787564488362
16 1.19825751285638 0.840660054869699 1.14042282973493 0.912969154514657 0.89266890078149 1.08401138591409 1.6317119244259 0.611270738091775 1.10070989030824 0.965488569416394 1.02838362227769 0.975119315548815 1.13936653932528 0.859598508615281 1.03102589779395 0.935579554832982
17 1.2405787602368 0.808982661267399 1.25885203819333 0.838139756170774 0.946813875300995 1.04724833103432 1.63635469764467 0.617716060568348 1.13712163753267 0.940086810507749 1.09294681413211 0.917717944100911 1.22766986300052 0.799806571972472 1.07961888559436 0.889393961811727
18 1.22727441854162 0.81852337138301 1.34061860372088 0.788832206561247 0.99396874514957 1.00068530124527 1.62449927147773 0.627935029464507 1.15356323405404 0.930172319961003 1.13822733331876 0.877219145343644 1.24622099779822 0.793817136544403 1.13771744061032 0.852040856670245
19 1.24294364369815 0.811943224012533 1.37598106353563 0.77238966581245 1.06906853623438 0.936486023324229 1.6647447218032 0.616702611563583 1.19927409050598 0.904861068871938 1.07635946969701 0.91904918730355 1.24216455516224 0.799446997949208 1.22646353471135 0.798212017618595
20 1.26145419451803 0.802910153065776 1.42920909977392 0.741373153637923 1.08972219537326 0.909329942555087 1.78030662715601 0.593499584202742 1.21807686191601 0.856158712420687 1.04459755563073 0.932082258149985 1.27754125310583 0.785368538070439 1.26861925566605 0.769543328377777
21 1.25803289210106 0.800331428755593 1.39124285647357 0.760182261965508 1.09760162790837 0.902197418948721 1.75813472439186 0.602373181029118 1.19776422406147 0.878271303925635 1.02105112102053 0.94429229418874 1.31865381171889 0.757389056894497 1.25764867358228 0.781020651638908
22 1.28057678127119 0.793732263479659 1.40096564573037 0.792447432971013 1.12854518791909 0.879734689210964 1.71446720119728 0.632937414890214 1.17285913117257 0.890422726530977 1.00017742506771 0.967237288408054 1.36387635582865 0.734048214486724 1.25626827376929 0.787340872558616
23 1.38255606473036 0.72892666081709 1.38032753173372 0.786621524349779 1.20852416137725 0.825531150623815 1.72735413935967 0.62662476340032 1.27121753432197 0.838317952769213 0.960854013819326 0.990535426253083 1.38707496376393 0.716681286581393 1.2547727184051 0.801060321508877
24 1.40576724500966 0.718768651548042 1.39252829230315 0.779629771646535 1.19106103955399 0.835375810066471 1.75218367576173 0.620221456038543 1.34072901028114 0.783284055963229 0.962987897733372 0.995118508889848 1.38487597319462 0.727323414606725 1.24834399883327 0.808199422243993
25 1.44379213315959 0.709434499584832 1.42903872662179 0.754692067973258 1.22665730584805 0.824921602852395 1.83489859735339 0.548768627061213 1.42109045376963 0.745234461131597 0.949497411284236 1.01609849098126 1.35371072913921 0.745835673270732 1.25419359239536 0.83417780592925
26 1.46072943080842 0.694947375886951 1.45641412255795 0.74699410527974 1.26772629406972 0.802251148450698 1.84160847890064 0.552341935590763 1.43174952264589 0.733755783240023 0.966555146499781 0.990886047005331 1.34636444113441 0.75519398194053 1.24202941213916 0.839450326465536
27 1.44720298802997 0.694390347917414 1.37178871646202 0.785566760016903 1.26437760164128 0.802989839259221 1.78284341898203 0.569523321481102 1.42510986753502 0.74107239350254 0.961808742026331 0.990668932264291 1.32428172723991 0.770582170099054 1.22984486124399 0.842485820475595
28 1.43635266535953 0.707080172437557 1.34828647745179 0.803324146758131 1.24906547018349 0.810831235673015 1.78437700767778 0.578968282083387 1.40495456497782 0.738340804198754 0.923190524287909 1.0128575052863 1.29941489933324 0.782691641032098 1.24069184764198 0.836150658793293
29 1.46931378822834 0.69885017029669 1.32034588043739 0.812279451072405 1.20424583875847 0.836512530761671 1.76265588174219 0.594093227776237 1.32424125657731 0.772053454399089 0.893529631053079 1.02200836232956 1.27065346380224 0.802810805733183 1.26978013584597 0.822251718447356
30 1.62015945739333 0.635058203689538 1.33174426746146 0.805057954762881 1.24847671120003 0.804094108883134 1.77800264672052 0.585268937355754 1.26917777582954 0.80244066654355 0.907926236632891 1.02387114115015 1.35932213970158 0.750826311706191 1.28043320174697 0.818446118293624
31 1.63080945968894 0.624551652818177 1.31383555479531 0.815188559899745 1.2586422820617 0.801307641673372 1.81480799992939 0.569646615385427 1.22690105149831 0.821455847654137 0.883349589062702 1.04762402681477 1.34594257746049 0.756239949749244 1.29269028943445 0.813477021024871
32 1.52586886548596 0.697972677119683 1.24461278174124 0.894252873720893 1.18798794793975 0.88269669521461 1.69208071092452 0.607749433874777 1.15928818417721 0.865891430844591 0.87492474167438 1.0615123701759 1.25680833371969 0.812865594529629 1.21768987314206 0.863747002221081
33 1.42625554847542 0.736167979625353 1.16480203866036 0.940251737877398 1.16278680873465 0.904208771274525 1.69484602482674 0.609198767568177 1.1337372671274 0.871462449340958 0.814162025832292 1.14545789773652 1.18242296801373 0.862635642315764 1.18198138025441 0.883527923143004
34 1.31778110602086 0.784470840024657 1.08252830075616 0.966473978377493 1.10315546038909 0.946925069382423 1.71831201696909 0.587473330377766 1.07595097403936 0.898627452976015 0.795536176490603 1.16609775070022 1.11717310470652 0.904998979397933 1.18001420524518 0.882472009712046
35 1.26424546345351 0.837623785935333 1.04410505181383 0.988288317409745 1.07568133467463 0.966072927355272 1.7709894408293 0.560937032696521 1.04342250540722 0.914639782739268 0.80591332716838 1.17791097277591 1.06849926333279 0.950819447473566 1.21269360007409 0.854823055685622
36 1.24970369953686 0.852233706059699 1.04364926183744 0.989971263067971 1.09216717240934 0.949429206388872 1.83460879855244 0.548928757214744 1.06241862423607 0.899184967037019 0.832379793829555 1.14797807709194 1.07404782529086 0.942461314293624 1.2766221137439 0.818855215864747
37 1.20862692627894 0.858193140108427 1.03254078045743 0.992023367117164 1.09074190649526 0.93110087900971 1.83429138963067 0.55453934536063 1.04614744758411 0.901678087636369 0.866007854198069 1.1162089543969 1.05071445403521 0.948250904755423 1.25216976175531 0.809171414351763
38 1.21037023868272 0.846083105390598 1.02282602341769 0.989436733183102 1.08759970756945 0.939531002934246 1.89855516785807 0.539314826934115 1.06650657556631 0.890816538006362 0.887601515136696 1.09841175490158 1.05549899107833 0.956581117256873 1.25107585149265 0.829296683888472
39 1.19995818645449 0.855862552208788 1.04811191356209 0.974843806604472 1.07712750352144 0.954477525602068 1.86342133165668 0.548143117159885 1.05139728095195 0.894824196264983 0.872045744947079 1.10661405934683 1.03587944269762 0.970244973482804 1.27470769350738 0.803606951692003
40 1.18174556336547 0.867437900597254 1.03287318555503 0.982576474632924 1.07070239085101 0.961021749405268 1.86001164555931 0.54450178138319 1.09213270457117 0.863475301734548 0.846822230996223 1.13855485722984 1.02554902849799 0.983724264684309 1.23033133179564 0.830613097293274
41 1.14972285547478 0.887068218952439 1.03215417061001 0.985731547237299 1.08418730195416 0.941966003326985 1.92530666072085 0.511843357026245 1.12761452470803 0.844204670447069 0.858354121488762 1.13308942334762 0.999755080115866 1.00235060894635 1.20321907875901 0.843682099290076
42 1.09473305126679 0.915437639716455 0.992471839136311 1.01132416738853 1.07788487893314 0.950134071856282 1.91010186924667 0.519764102536292 1.129586593349 0.855148500889737 0.857778458493469 1.11695529039756 0.972878206880485 1.01929132818535 1.2074765467037 0.833167026378852
43 1.047699744226 0.953218659044247 0.962200356091603 1.03749557909931 1.07068679113962 0.961245124913288 1.8495676669103 0.533698421568589 1.11774856829074 0.860646533718979 0.889528928293575 1.0820111873069 0.932744381678707 1.04845742745461 1.18865743026761 0.825652356155942
44 1.09773183862858 0.893025969169629 1.00477309142513 0.963829655853692 1.11433068574945 0.896513639152413 1.97351246063498 0.503253065242464 1.16725199099268 0.826316206018707 0.948918422805613 1.03766486215657 0.963234551701777 1.01946571676759 1.24500469628101 0.785164374188984
