"","combinacao","learnParams","porc_teste","iteracao","neuronio","minimo","SSE","maximo","metodo"
"1",1,0.3,0.25,1500,5,0.02020502,0.03192483,0.04364464,"b_volatilidae"
"2",1,0.3,0.25,1500,5,0.03630457,0.05685274,0.07740092,"volatilidade"
"3",1,0.3,0.25,1500,5,0.0310945,0.04383128,0.05656807,"b"
