"combinacao","learnParams","porc_teste","iteracao","neuronio","sse_treino","sse_teste","mape_treino","mape_teste","mse_treino","mse_teste","POCID_treino","POCID_teste","nmse_treino","nmse_teste","arv_treino","arv_teste","setor","variavel_entrada"
1,0.3,0.25,2200,5,0.105207752605455,0.637193342553755,3.41654107304739,7.23730563684353,0.00219182817928032,0.0398245839096097,89.3617021276596,93.3333333333333,0.00354447674640641,0.0545968361136131,0.347048318398505,2.46680401138527,"BVSP","Volatilidade"
1,0.3,0.25,2200,5,0.696365470295951,0.0435257036490102,4.41002707716519,4.75904907924814,0.014507613964499,0.00272035647806314,91.4893617021277,86.6666666666667,0.0229738472126076,0.00408376993668651,1.49866578901782,0.422082632668797,"BVSP","Volatilidade"
1,0.3,0.25,2200,5,0.531166244445603,0.204285486994674,4.20567873417323,6.20678244613557,0.0110659634259501,0.0127678429371672,78.7234042553192,80,0.0169177836870668,0.0197061789337761,1.76484772664445,1.25503553190026,"BVSP","Volatilidade"
1,0.3,0.25,2200,5,0.273097226008476,0.458813312917433,4.17397859145239,5.59878859230105,0.00568952554184326,0.0286758320573396,85.1063829787234,93.3333333333333,0.00888948465753927,0.0416116836946024,0.790370252814899,3.14788198146827,"BVSP","Volatilidade"
1,0.3,0.25,2200,5,0.705396663240624,0.0320567238344757,4.69101724317894,3.27538150496844,0.014695763817513,0.00200354523965473,93.6170212765958,86.6666666666667,0.022357461131944,0.00341699495193811,1.50399438976779,0.323257530075673,"BVSP","Volatilidade"
1,0.3,0.25,2200,5,0.496905659242094,0.239946823603683,4.39748017784532,5.59645678313871,0.0103522012342103,0.0149966764752302,91.4893617021277,80,0.0162147854982581,0.0211791193233571,1.75118233769405,1.42498370914758,"BVSP","Volatilidade"
1,0.3,0.25,2200,5,0.106365113335373,0.632633310177716,3.65531315065263,7.42093684996554,0.0022159398611536,0.0395395818861072,89.3617021276596,100,0.00355116442502764,0.0536273133841429,0.361409048180221,2.59975674652931,"BVSP","Volatilidade"
1,0.3,0.25,2200,5,0.648574523256457,0.0831865489845889,4.17262578704617,4.61479944090803,0.0135119692345095,0.00519915931153681,87.2340425531915,93.3333333333333,0.0210598624414877,0.00805015931706344,1.43680848516381,0.510460260085824,"BVSP","Volatilidade"
1,0.3,0.25,2200,5,0.710352331131371,0.0241774169018757,4.37929445005373,3.86246448328763,0.0147990068985702,0.00151108855636723,89.3617021276596,86.6666666666667,0.0226078934934513,0.00248723758320539,1.54905101911652,0.265835939170329,"BVSP","Volatilidade"
1,0.3,0.25,2200,5,0.223049068741531,0.50705432773574,3.54448914763189,6.15732224051795,0.00464685559878189,0.0316908954834837,93.6170212765958,86.6666666666667,0.00741180024339995,0.0449623220783758,0.585406036986321,2.40445484081393,"BVSP","Volatilidade"
1,0.3,0.25,2200,5,0.28529859416939,0.446345483234115,4.1407188698988,5.2601849709199,0.00594372071186228,0.0278965927021322,87.2340425531915,100,0.00923151728032866,0.0429645622058723,0.637109875156945,3.31255780550119,"BVSP","Volatilidade"
1,0.3,0.25,2200,5,0.550086420244464,0.177734092451041,4.49623562312973,3.885423756861,0.011460133755093,0.0111083807781901,95.7446808510638,100,0.0176736440320727,0.0172935669509256,1.46213757016086,1.37318431835692,"BVSP","Volatilidade"
1,0.3,0.25,2200,5,0.534132570008465,0.198558257143785,3.8098889637082,6.04431620490016,0.0111277618751764,0.0124098910714865,89.3617021276596,100,0.0169956516614045,0.0193587431139012,1.32069833871374,1.20756403271832,"BVSP","Volatilidade"
1,0.3,0.25,2200,5,0.491479179773545,0.240299228437508,3.93462669212878,5.74615759723903,0.0102391495786155,0.0150187017773442,87.2340425531915,73.3333333333333,0.0162168482883934,0.0213135660411485,1.49192221541832,1.48570367846294,"BVSP","Volatilidade"
1,0.3,0.25,2200,5,0.275651484444445,0.456714233851853,3.79359130943776,5.84319659628269,0.00574273925925927,0.0285446396157408,91.4893617021277,93.3333333333333,0.00900621819400199,0.0427210349712516,0.702941080682175,2.37363111965604,"BVSP","Volatilidade"
1,0.3,0.25,2200,5,0.698804427460068,0.0414619513267023,4.31012200241766,5.05184729835597,0.0145584255720847,0.00259137195791889,93.6170212765958,86.6666666666667,0.021495448756028,0.00452288151750665,1.5174108253801,0.277796213243566,"BVSP","Volatilidade"
1,0.3,0.25,2200,5,0.712745792833363,0.0248645034272447,4.91101674525061,3.4401436487455,0.0148488706840284,0.0015540314642028,93.6170212765958,86.6666666666667,0.0225541070952433,0.00258759622464954,1.55938855069888,0.367105595742536,"BVSP","Volatilidade"
1,0.3,0.25,2200,5,0.70658208099196,0.0280705362647563,4.44383792406043,4.21371837085795,0.0147204600206658,0.00175440851654727,89.3617021276596,93.3333333333333,0.0221983554775319,0.00301037883742988,1.35254594219698,0.323583571759258,"BVSP","Volatilidade"
1,0.3,0.25,2200,5,0.482909097397451,0.250163051562044,4.06242913711428,5.7770255373158,0.0100606061957802,0.0156351907226277,93.6170212765958,86.6666666666667,0.0157651216422451,0.0227527371232415,1.6470422691721,1.2400026519052,"BVSP","Volatilidade"
1,0.3,0.25,2200,5,0.284079409274562,0.450741369848623,4.06063252506153,5.63948229698336,0.00591832102655338,0.0281713356155389,89.3617021276596,93.3333333333333,0.00923748579013516,0.0420543804243209,0.696700932845498,3.63066330131656,"BVSP","Volatilidade"
1,0.3,0.25,2200,5,0.713961301601291,0.0209307932108101,4.87188182572377,3.54408745612315,0.0148741937833602,0.00130817457567563,87.2340425531915,86.6666666666667,0.0228119923451615,0.00210922095524126,1.57002753998326,0.239423745078206,"BVSP","Volatilidade"
